date,p0_status,p0_reason,side,A_status,A_reason,RA,B_status,B_reason,RB,morning_A,downstream_A,downstream_B,epoch,D,D_decomp
20171108,yes,ok,-1.0,resolved,ok,-16.5,resolved,ok,-2.25,-14.25,-2.25,-2.25,2013-19,-14.25,-14.25
20171109,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20171110,yes,ok,1.0,resolved,ok,-6.25,resolved,ok,0.0,-6.25,0.0,0.0,2013-19,-6.25,-6.25
20171113,yes,ok,1.0,resolved,ok,26.5,resolved,ok,0.0,26.5,0.0,0.0,2013-19,26.5,26.5
20171114,yes,ok,-1.0,resolved,ok,-3.0,resolved,ok,0.0,-3.0,0.0,0.0,2013-19,-3.0,-3.0
20171115,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20171116,yes,ok,1.0,resolved,ok,29.75,resolved,ok,26.75,29.75,0.0,26.75,2013-19,3.0,3.0
20171117,yes,ok,-1.0,resolved,ok,6.75,resolved,ok,0.0,6.75,0.0,0.0,2013-19,6.75,6.75
20171120,yes,ok,-1.0,resolved,ok,7.0,resolved,ok,0.0,7.0,0.0,0.0,2013-19,7.0,7.0
20171121,yes,ok,1.0,resolved,ok,32.25,resolved,ok,-2.25,32.25,0.0,-2.25,2013-19,34.5,34.5
20171122,yes,ok,1.0,resolved,ok,-11.75,resolved,ok,0.0,-11.75,0.0,0.0,2013-19,-11.75,-11.75
20171123,yes,ok,1.0,resolved,ok,-8.25,resolved,ok,0.0,-8.25,0.0,0.0,2013-19,-8.25,-8.25
20171124,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20171127,yes,ok,-1.0,resolved,ok,5.75,resolved,ok,0.0,5.75,0.0,0.0,2013-19,5.75,5.75
20171128,yes,ok,-1.0,resolved,ok,4.5,resolved,ok,0.0,4.5,0.0,0.0,2013-19,4.5,4.5
20171129,yes,ok,-1.0,resolved,ok,92.5,resolved,ok,-3.75,92.5,0.0,-3.75,2013-19,96.25,96.25
20171130,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20171201,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
